temperature,humidity,datetime
24.0,40.0,2022-10-22 18:09:08.131875
24.0,40.0,2022-10-22 18:09:08.657773
24.0,40.0,2022-10-22 18:09:09.184017
24.0,40.0,2022-10-22 18:09:09.709880
24.0,40.0,2022-10-22 18:09:10.235781
24.0,40.0,2022-10-22 18:09:10.761637
24.0,40.0,2022-10-22 18:09:11.287951
24.0,40.0,2022-10-22 18:09:11.813815
24.0,40.0,2022-10-22 18:09:12.340089
24.0,40.0,2022-10-22 18:09:12.866461
24.0,40.0,2022-10-22 18:09:13.393131
24.0,40.0,2022-10-22 18:09:13.919009
24.0,40.0,2022-10-22 18:09:14.445158
24.0,40.0,2022-10-22 18:09:14.971040
24.0,40.0,2022-10-22 18:09:15.496795
24.0,40.0,2022-10-22 18:09:16.022671
24.0,40.0,2022-10-22 18:09:16.548638
24.0,40.0,2022-10-22 18:09:17.074519
24.0,40.0,2022-10-22 18:09:17.600422
24.0,40.0,2022-10-22 18:09:18.126375
24.0,40.0,2022-10-22 18:09:18.652270
24.0,40.0,2022-10-22 18:09:19.178652
24.0,40.0,2022-10-22 18:09:19.704533
24.0,40.0,2022-10-22 18:09:20.230513
24.0,40.0,2022-10-22 18:09:20.756513
24.0,40.0,2022-10-22 18:09:21.282441
24.0,40.0,2022-10-22 18:09:21.808638
24.0,40.0,2022-10-22 18:09:24.864492
24.0,40.0,2022-10-22 18:09:25.390303
24.0,40.0,2022-10-22 18:09:25.916231
24.0,40.0,2022-10-22 18:09:26.442097
24.0,40.0,2022-10-22 18:09:26.967914
24.0,40.0,2022-10-22 18:09:30.024511
24.0,40.0,2022-10-22 18:09:30.550297
24.0,40.0,2022-10-22 18:09:31.076210
24.0,40.0,2022-10-22 18:09:31.602073
24.0,40.0,2022-10-22 18:09:32.127892
24.0,40.0,2022-10-22 18:09:32.653710
24.0,40.0,2022-10-22 18:09:33.179528
24.0,40.0,2022-10-22 18:09:33.705339
24.0,40.0,2022-10-22 18:09:34.231172
24.0,40.0,2022-10-22 18:09:34.757031
24.0,40.0,2022-10-22 18:09:35.282878
24.0,40.0,2022-10-22 18:09:35.808701
24.0,40.0,2022-10-22 18:09:36.334503
24.0,40.0,2022-10-22 18:09:36.860283
24.0,40.0,2022-10-22 18:09:37.386194
24.0,40.0,2022-10-22 18:09:37.912060
24.0,40.0,2022-10-22 18:09:38.437855
24.0,40.0,2022-10-22 18:09:38.963427
24.0,40.0,2022-10-22 18:09:39.489131
24.0,40.0,2022-10-22 18:09:40.014939
24.0,40.0,2022-10-22 18:09:40.540765
24.0,40.0,2022-10-22 18:09:41.066650
24.0,40.0,2022-10-22 18:09:41.592469
24.0,40.0,2022-10-22 18:09:42.118271
24.0,40.0,2022-10-22 18:09:42.644110
24.0,40.0,2022-10-22 18:09:43.169937
24.0,40.0,2022-10-22 18:09:43.695741
24.0,40.0,2022-10-22 18:09:44.221570
24.0,40.0,2022-10-22 18:09:44.747405
24.0,40.0,2022-10-22 18:09:45.273001
24.0,40.0,2022-10-22 18:09:45.798820
24.0,40.0,2022-10-22 18:09:46.324628
24.0,40.0,2022-10-22 18:09:46.850422
24.0,40.0,2022-10-22 18:09:47.376073
24.0,40.0,2022-10-22 18:09:47.901878
24.0,40.0,2022-10-22 18:09:48.428176
24.0,40.0,2022-10-22 18:09:48.954317
24.0,40.0,2022-10-22 18:09:49.480413
24.0,40.0,2022-10-22 18:09:50.006373
24.0,40.0,2022-10-22 18:09:50.532229
24.0,40.0,2022-10-22 18:09:51.058100
24.0,40.0,2022-10-22 18:09:51.584577
24.0,40.0,2022-10-22 18:09:52.110392
24.0,40.0,2022-10-22 18:09:52.636287
24.0,40.0,2022-10-22 18:09:53.162118
24.0,40.0,2022-10-22 18:09:53.687920
24.0,40.0,2022-10-22 18:09:56.744874
24.0,40.0,2022-10-22 18:09:57.270655
24.0,40.0,2022-10-22 18:09:57.796764
24.0,40.0,2022-10-22 18:10:00.853437
24.0,40.0,2022-10-22 18:10:01.379151
24.0,40.0,2022-10-22 18:10:04.435447
24.0,40.0,2022-10-22 18:10:04.961244
24.0,40.0,2022-10-22 18:10:05.487108
24.0,40.0,2022-10-22 18:10:06.012923
24.0,40.0,2022-10-22 18:10:06.538753
24.0,40.0,2022-10-22 18:10:07.064560
24.0,40.0,2022-10-22 18:10:07.590361
24.0,40.0,2022-10-22 18:10:08.116245
24.0,40.0,2022-10-22 18:10:08.642081
24.0,40.0,2022-10-22 18:10:09.167984
24.0,40.0,2022-10-22 18:10:09.693779
24.0,40.0,2022-10-22 18:10:10.219621
24.0,40.0,2022-10-22 18:10:10.745430
24.0,40.0,2022-10-22 18:10:11.271256
24.0,40.0,2022-10-22 18:10:11.797152
24.0,40.0,2022-10-22 18:10:12.322966
24.0,40.0,2022-10-22 18:10:12.848778
24.0,40.0,2022-10-22 18:10:13.374597
24.0,40.0,2022-10-22 18:10:13.900412
24.0,40.0,2022-10-22 18:10:14.426324
24.0,40.0,2022-10-22 18:10:14.952141
24.0,40.0,2022-10-22 18:10:15.477933
24.0,40.0,2022-10-22 18:10:18.534512
24.0,40.0,2022-10-22 18:10:19.060324
24.0,40.0,2022-10-22 18:10:19.586189
24.0,40.0,2022-10-22 18:10:20.112094
24.0,40.0,2022-10-22 18:10:20.637875
24.0,40.0,2022-10-22 18:10:21.163773
24.0,40.0,2022-10-22 18:10:21.689584
24.0,40.0,2022-10-22 18:10:22.215376
24.0,40.0,2022-10-22 18:10:22.741218
